<config.params object at 0x7ff5fde30d30>
Train 1, loss: 0.31237935
best_epoch 1, best_loss: 3306.12403186
<config.params object at 0x7f82aa4fad30>
<config.params object at 0x7fa6b3ef3d30>
Train 1, loss: 0.31511694
best_epoch 1, best_loss: 3310.31378805
<config.params object at 0x7f6e7e5d6d30>
Train 1, loss: 0.30648141
best_epoch 1, best_loss: 3309.03564874
Train 2, loss: 0.30678809
best_epoch 2, best_loss: 3136.43759261
<config.params object at 0x7f977f21ad30>
<config.params object at 0x7f079889fd30>
Train 1, loss: 0.04715925
best_epoch 1, best_loss: 48.22179216
Train 2, loss: 0.03857011
best_epoch 2, best_loss: 43.40043509
Train 3, loss: 0.03736801
best_epoch 2, best_loss: 43.40043509
Train 4, loss: 0.03662991
best_epoch 4, best_loss: 38.19059740
Train 5, loss: 0.03606171
best_epoch 4, best_loss: 38.19059740
<config.params object at 0x7f7ba1b63d30>
<config.params object at 0x7f91a78f9d30>
<config.params object at 0x7f4629f08d30>
Train 1, loss: 0.02314303
best_epoch 1, best_loss: 22.34648862
Train 2, loss: 0.02122313
best_epoch 1, best_loss: 22.34648862
Train 3, loss: 0.02101135
best_epoch 1, best_loss: 22.34648862
Train 4, loss: 0.02039849
best_epoch 4, best_loss: 21.47033057
Train 5, loss: 0.02022386
best_epoch 4, best_loss: 21.47033057
Train 6, loss: 0.01996012
best_epoch 6, best_loss: 20.06167139
Train 7, loss: 0.02014130
best_epoch 6, best_loss: 20.06167139
Train 8, loss: 0.01979557
best_epoch 6, best_loss: 20.06167139
Train 9, loss: 0.01976085
best_epoch 6, best_loss: 20.06167139
Train 10, loss: 0.01976252
best_epoch 6, best_loss: 20.06167139
Train 11, loss: 0.01957365
best_epoch 11, best_loss: 17.62293628
Train 12, loss: 0.01925542
best_epoch 11, best_loss: 17.62293628
Train 13, loss: 0.01926107
best_epoch 11, best_loss: 17.62293628
Train 14, loss: 0.01899663
best_epoch 11, best_loss: 17.62293628
Train 15, loss: 0.01960678
best_epoch 11, best_loss: 17.62293628
Train 16, loss: 0.01881208
best_epoch 11, best_loss: 17.62293628
Train 17, loss: 0.01884774
best_epoch 11, best_loss: 17.62293628
Train 18, loss: 0.01889357
best_epoch 11, best_loss: 17.62293628
Train 19, loss: 0.01876932
best_epoch 11, best_loss: 17.62293628
Train 20, loss: 0.01871084
best_epoch 11, best_loss: 17.62293628
Train 21, loss: 0.01874079
best_epoch 11, best_loss: 17.62293628
Train 22, loss: 0.01884783
best_epoch 11, best_loss: 17.62293628
Train 23, loss: 0.01916720
best_epoch 11, best_loss: 17.62293628
Train 24, loss: 0.01882957
best_epoch 11, best_loss: 17.62293628
Train 25, loss: 0.02042872
best_epoch 11, best_loss: 17.62293628
Train 26, loss: 0.01879530
best_epoch 11, best_loss: 17.62293628
Train 27, loss: 0.01861547
best_epoch 11, best_loss: 17.62293628
Train 28, loss: 0.01824941
best_epoch 11, best_loss: 17.62293628
Train 29, loss: 0.01853583
best_epoch 11, best_loss: 17.62293628
Train 30, loss: 0.01904496
best_epoch 11, best_loss: 17.62293628
Train 31, loss: 0.01886318
best_epoch 11, best_loss: 17.62293628
Train 32, loss: 0.01841108
best_epoch 11, best_loss: 17.62293628
Train 33, loss: 0.01829019
best_epoch 11, best_loss: 17.62293628
Train 34, loss: 0.01962741
best_epoch 11, best_loss: 17.62293628
Train 35, loss: 0.01876446
best_epoch 11, best_loss: 17.62293628
Train 36, loss: 0.01965912
best_epoch 11, best_loss: 17.62293628
Train 37, loss: 0.01898788
best_epoch 11, best_loss: 17.62293628
Train 38, loss: 0.01877284
best_epoch 11, best_loss: 17.62293628
Train 39, loss: 0.01802161
best_epoch 11, best_loss: 17.62293628
Train 40, loss: 0.01769316
best_epoch 11, best_loss: 17.62293628
Train 41, loss: 0.01807832
best_epoch 11, best_loss: 17.62293628
Train 42, loss: 0.01723585
best_epoch 11, best_loss: 17.62293628
Train 43, loss: 0.01792506
best_epoch 11, best_loss: 17.62293628
Train 44, loss: 0.01713292
best_epoch 11, best_loss: 17.62293628
Train 45, loss: 0.01809558
best_epoch 11, best_loss: 17.62293628
Train 46, loss: 0.01876897
best_epoch 11, best_loss: 17.62293628
Train 47, loss: 0.01788238
best_epoch 11, best_loss: 17.62293628
Train 48, loss: 0.01754130
best_epoch 11, best_loss: 17.62293628
Train 49, loss: 0.01754625
best_epoch 11, best_loss: 17.62293628
Train 50, loss: 0.01697602
best_epoch 11, best_loss: 17.62293628
Train 51, loss: 0.01797630
best_epoch 11, best_loss: 17.62293628
Train 52, loss: 0.01776917
best_epoch 11, best_loss: 17.62293628
Train 53, loss: 0.01797596
best_epoch 11, best_loss: 17.62293628
Train 54, loss: 0.01753656
best_epoch 11, best_loss: 17.62293628
Train 55, loss: 0.01776073
best_epoch 11, best_loss: 17.62293628
Train 56, loss: 0.01729972
best_epoch 11, best_loss: 17.62293628
Train 57, loss: 0.01766422
best_epoch 11, best_loss: 17.62293628
Train 58, loss: 0.01789096
best_epoch 11, best_loss: 17.62293628
Train 59, loss: 0.01751774
best_epoch 11, best_loss: 17.62293628
Train 60, loss: 0.01788653
best_epoch 11, best_loss: 17.62293628
Train 61, loss: 0.01831771
best_epoch 11, best_loss: 17.62293628
Train 62, loss: 0.01766427
best_epoch 11, best_loss: 17.62293628
Train 63, loss: 0.01711790
best_epoch 11, best_loss: 17.62293628
Train 64, loss: 0.01940564
best_epoch 11, best_loss: 17.62293628
Train 65, loss: 0.01917933
best_epoch 11, best_loss: 17.62293628
Train 66, loss: 0.01784790
best_epoch 11, best_loss: 17.62293628
Train 67, loss: 0.01819386
best_epoch 11, best_loss: 17.62293628
Train 68, loss: 0.01913989
best_epoch 11, best_loss: 17.62293628
Train 69, loss: 0.02107860
best_epoch 11, best_loss: 17.62293628
Train 70, loss: 0.01922731
best_epoch 11, best_loss: 17.62293628
Train 71, loss: 0.01902550
best_epoch 11, best_loss: 17.62293628
Train 72, loss: 0.02013533
best_epoch 11, best_loss: 17.62293628
Train 73, loss: 0.02082437
best_epoch 11, best_loss: 17.62293628
Train 74, loss: 0.02085741
best_epoch 11, best_loss: 17.62293628
Train 75, loss: 0.02032205
best_epoch 11, best_loss: 17.62293628
Train 76, loss: 0.02022205
best_epoch 11, best_loss: 17.62293628
Train 77, loss: 0.02020601
best_epoch 11, best_loss: 17.62293628
Train 78, loss: 0.01971096
best_epoch 11, best_loss: 17.62293628
Train 79, loss: 0.01975390
best_epoch 11, best_loss: 17.62293628
Train 80, loss: 0.01925237
best_epoch 11, best_loss: 17.62293628
Train 81, loss: 0.01943975
best_epoch 11, best_loss: 17.62293628
Train 82, loss: 0.01874751
best_epoch 11, best_loss: 17.62293628
Train 83, loss: 0.01893420
best_epoch 11, best_loss: 17.62293628
Train 84, loss: 0.01901111
best_epoch 11, best_loss: 17.62293628
Train 85, loss: 0.01855098
best_epoch 11, best_loss: 17.62293628
Train 86, loss: 0.01848917
best_epoch 11, best_loss: 17.62293628
Train 87, loss: 0.01843018
best_epoch 11, best_loss: 17.62293628
Train 88, loss: 0.01816325
best_epoch 11, best_loss: 17.62293628
Train 89, loss: 0.01806192
best_epoch 11, best_loss: 17.62293628
Train 90, loss: 0.01792236
best_epoch 11, best_loss: 17.62293628
Train 91, loss: 0.01808698
best_epoch 11, best_loss: 17.62293628
Train 92, loss: 0.01797521
best_epoch 11, best_loss: 17.62293628
Train 93, loss: 0.01776987
best_epoch 11, best_loss: 17.62293628
Train 94, loss: 0.01775256
best_epoch 11, best_loss: 17.62293628
Train 95, loss: 0.01764628
best_epoch 11, best_loss: 17.62293628
Train 96, loss: 0.01731074
best_epoch 11, best_loss: 17.62293628
Train 97, loss: 0.01715952
best_epoch 11, best_loss: 17.62293628
Train 98, loss: 0.01823370
<config.params object at 0x7fa18d83ad30>
<config.params object at 0x7fe342f9ed30>
<config.params object at 0x7fbbe5c58d30>
Train 1, loss: 0.31843768
best_epoch 1, best_loss: 3808.97613315
<config.params object at 0x7f626064fd30>
<config.params object at 0x7fe201259d30>
<config.params object at 0x7fd13a670d30>
<config.params object at 0x7f3805605d30>
<config.params object at 0x7f3c2892ed30>
<config.params object at 0x7fca10596d30>
<config.params object at 0x7f3a56ffad30>
<config.params object at 0x7efd377dbd30>
<config.params object at 0x7ff927217d30>
<config.params object at 0x7fa66f66ed30>
Train 1, loss: 0.01056573
best_epoch 1, best_loss: 4.68329604
Train 2, loss: 0.01017399
best_epoch 1, best_loss: 4.68329604
Train 3, loss: 0.01014905
best_epoch 1, best_loss: 4.68329604
Train 4, loss: 0.01072147
<config.params object at 0x7feca627fd30>
<config.params object at 0x7f984be5ad30>
Train 1, loss: 0.01047543
best_epoch 1, best_loss: 4.88333608
Train 2, loss: 0.01007687
best_epoch 1, best_loss: 4.88333608
<config.params object at 0x7f16b6aded30>
<config.params object at 0x7ff90c1fbd30>
<config.params object at 0x7fe6d64bbd30>
Train 1, loss: 0.01121830
best_epoch 1, best_loss: 12.70388584
Train 2, loss: 0.01027770
best_epoch 2, best_loss: 5.36982716
Train 3, loss: 0.01016493
best_epoch 2, best_loss: 5.36982716
Train 4, loss: 0.00998197
best_epoch 2, best_loss: 5.36982716
<config.params object at 0x7f10ec0a2df0>
Train 1, loss: 0.01123210
best_epoch 1, best_loss: 6.32080546
Train 2, loss: 0.01068162
best_epoch 1, best_loss: 6.32080546
Train 3, loss: 0.01095658
best_epoch 1, best_loss: 6.32080546
